[9700:14172:1216/151508.109:WARNING:chrome_main_delegate.cc(672)] This is Chrome version 131.0.6778.140 (not a warning)
[9700:14172:1216/151508.200:INFO:chrome_browser_cloud_management_controller.cc(196)] No machine level policy manager exists.
[9532:2300:1216/151508.601:WARNING:viz_main_impl.cc(85)] VizNullHypothesis is disabled (not a warning)
[9700:14172:1216/151551.528:INFO:CONSOLE(1)] "Listener added for a 'DOMNodeRemoved' mutation event. Support for this event type has been removed, and this event will no longer be fired. See https://chromestatus.com/feature/5083947249172480 for more information.", source: https://r.bing.com/rp/eKvcHdnNwo1WcxoSioV4ztnfZk8.br.js (1)
[9700:14172:1216/151553.554:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=receitas+que+usam+alho&form=ML2UYA&OCID=ML2UYA&PUBL=RewardsDO&CREA=ML2UYA&rnoreward=1 (6)
[9700:14172:1216/151553.556:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=receitas+que+usam+alho&form=ML2UYA&OCID=ML2UYA&PUBL=RewardsDO&CREA=ML2UYA&rnoreward=1 (6)
[9700:14172:1216/151553.556:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=receitas+que+usam+alho&form=ML2UYA&OCID=ML2UYA&PUBL=RewardsDO&CREA=ML2UYA&rnoreward=1 (6)
[9700:14172:1216/151553.556:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=receitas+que+usam+alho&form=ML2UYA&OCID=ML2UYA&PUBL=RewardsDO&CREA=ML2UYA&rnoreward=1 (6)
[9700:14172:1216/151553.556:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=receitas+que+usam+alho&form=ML2UYA&OCID=ML2UYA&PUBL=RewardsDO&CREA=ML2UYA&rnoreward=1 (6)
[9700:14172:1216/151557.102:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=previs%C3%A3o+do+tempo&form=ML2UYA&OCID=ML2UYA&PUBL=RewardsDO&CREA=ML2UYA&rnoreward=1 (6)
[9700:14172:1216/151557.103:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=previs%C3%A3o+do+tempo&form=ML2UYA&OCID=ML2UYA&PUBL=RewardsDO&CREA=ML2UYA&rnoreward=1 (6)
[9700:14172:1216/151557.103:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=previs%C3%A3o+do+tempo&form=ML2UYA&OCID=ML2UYA&PUBL=RewardsDO&CREA=ML2UYA&rnoreward=1 (6)
[9700:14172:1216/151557.103:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=previs%C3%A3o+do+tempo&form=ML2UYA&OCID=ML2UYA&PUBL=RewardsDO&CREA=ML2UYA&rnoreward=1 (6)
[9700:14172:1216/151557.103:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=previs%C3%A3o+do+tempo&form=ML2UYA&OCID=ML2UYA&PUBL=RewardsDO&CREA=ML2UYA&rnoreward=1 (6)
[9700:14172:1216/151558.495:INFO:CONSOLE(1)] "Listener added for a 'DOMNodeInserted' mutation event. Support for this event type has been removed, and this event will no longer be fired. See https://chromestatus.com/feature/5083947249172480 for more information.", source: https://r.bing.com/rp/eKvcHdnNwo1WcxoSioV4ztnfZk8.br.js (1)
[9700:14172:1216/151558.495:INFO:CONSOLE(1)] "Listener added for a 'DOMNodeRemoved' mutation event. Support for this event type has been removed, and this event will no longer be fired. See https://chromestatus.com/feature/5083947249172480 for more information.", source: https://r.bing.com/rp/eKvcHdnNwo1WcxoSioV4ztnfZk8.br.js (1)
[14048:1304:1216/151605.124:WARNING:sqlite_persistent_store_backend_base.cc(198)] Failed to post task from FlushAndNotifyInBackground@net\extras\sqlite\sqlite_persistent_store_backend_base.cc:248 to client_task_runner_.
[14048:1304:1216/151605.125:WARNING:sqlite_persistent_store_backend_base.cc(198)] Failed to post task from FlushAndNotifyInBackground@net\extras\sqlite\sqlite_persistent_store_backend_base.cc:248 to client_task_runner_.
